SongTitle,Artist
She Twerkin,Ca$h Out
Hallelujah,Matthew Schuler
Shake Me Down,Cage The Elephant
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God
Merry Go 'round,Kacey Musgraves
Numb,Linkin Park
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA"
Sober Saturday Night,Chris Young Featuring Vince Gill
Cheap Thrills,Sia Featuring Sean Paul
See You Again,Wiz Khalifa Featuring Charlie Puth
I Want To Know What Love Is,Terry McDermott
Mirrors,Justin Timberlake
Really Really,Kevin Gates
I Can't Tell You Why,The Swon Brothers
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P
Love Me Like You Do,Ellie Goulding
Poetic Justice,Kendrick Lamar Featuring Drake
Dangerous,David Guetta Featuring Sam Martin
Higher,Taio Cruz Featuring Travie McCoy
Last Kiss,Taylor Swift
Running Back,Wale Featuring Lil Wayne
All About Tonight,Blake Shelton
"Bitch, Don't Kill My Vibe",Kendrick Lamar
Whiskey In My Water,Tyler Farr
Sure Be Cool If You Did,Blake Shelton
Bounce Back,Big Sean
Take Over Control,Afrojack Featuring Eva Simons
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis
Beautiful Pain,Eminem Featuring Sia
Let Me Go,Avril Lavigne Featuring Chad Kroeger
Revenge,XXXTentacion
Lettin' The Night Roll,Justin Moore
Pontoon,Little Big Town
Angel,Jacquie Lee
Hopeless Wanderer,Mumford & Sons
I'm Out,Ciara Featuring Nicki Minaj
Rest Of My Life,Ludacris Featuring Usher & David Guetta
Not Ready To Die,Avenged Sevenfold
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj
Already Callin' You Mine,Parmalee
Pride.,Kendrick Lamar
Something Just Like This,The Chainsmokers & Coldplay
Like My Mother Does,Lauren Alaina
Tennessee Whiskey,Chris Stapleton
It Ain't My Fault,Brothers Osborne
New Man,Ed Sheeran
"I Love New York / New York, New York",Glee Cast
Yoga,Janelle Monae & Jidenna
As She's Walking Away,Zac Brown Band Featuring Alan Jackson
Drunk On Your Love,Brett Eldredge
Little More (Royalty),Chris Brown
Are You Gonna Kiss Me Or Not,Thompson Square
Back On Road,Gucci Mane & Drake
Distraction,Kehlani
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne
Carolina,Parmalee
How To Love,Lil Wayne
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
Heroes (We Could Be),Alesso Featuring Tove Lo
Views,Drake
A Sky Full Of Stars,Coldplay
