acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist_name
0.0192,https://api.spotify.com/v1/audio-analysis/2y6vf5vYJFow4oABKSW1m3,0.836,242510,0.705,0.0000147,5,0.107,-5.221,0,0.0537,119.949,4,0.549,Swish Swish,Katy Perry Featuring Nicki Minaj
0.393,https://api.spotify.com/v1/audio-analysis/5GG3knKdxKWrNboRijxeKF,0.646,169267,0.756,0.0000323,9,0.202,-9.017,0,0.487,193.881,4,0.614,Run Me Dry,Bryson Tiller
0.606,https://api.spotify.com/v1/audio-analysis/6wycnu8FWXsj68ig7BEot9,0.686,230600,0.417,0.00000179,7,0.0844,-7.787,1,0.0363,82.407,3,0.45,Blue Ain't Your Color,Keith Urban
0.0254,https://api.spotify.com/v1/audio-analysis/31MkGwj0SWgZaTvEt5Hgxv,0.386,271520,0.594,0.00000303,1,0.0873,-6.186,1,0.0565,113.843,4,0.19,What About Us,P!nk
0.00173,https://api.spotify.com/v1/audio-analysis/0qfpNzOaft5GMbxGnXfCOJ,0.49,222920,0.603,0,4,0.134,-6.079,1,0.032,119.961,3,0.304,Darlin' Don't Go,Sundance Head
0.0935,https://api.spotify.com/v1/audio-analysis/1vvNmPOiUuyCbgWmtc6yfm,0.819,219160,0.913,0.0000372,4,0.161,-3.059,0,0.0427,119.989,4,0.523,My Way,Calvin Harris
0.00782,https://api.spotify.com/v1/audio-analysis/5VnDkUNyX6u5Sk0yZiP8XB,0.604,187147,0.826,0.15,0,0.154,-4.804,1,0.0434,167.985,4,0.216,Thunder,Imagine Dragons
0.0962,https://api.spotify.com/v1/audio-analysis/4CpKEkdGbOJV51cSvx7SoG,0.747,245227,0.477,0,10,0.114,-11.062,0,0.276,93.44,4,0.339,Controlla,Drake
0.387,https://api.spotify.com/v1/audio-analysis/2H881m3JRA8lpuuwaQL6zy,0.614,169853,0.682,0,11,0.134,-4.117,0,0.102,100.202,4,0.559,Fear.,Kendrick Lamar
0.0295,https://api.spotify.com/v1/audio-analysis/4xBjsLUSjcx2h7PcRikpQp,0.655,228893,0.576,0.115,5,0.132,-6.735,0,0.0536,139.953,4,0.169,OMG,Camila Cabello Featuring Quavo
0.00381,https://api.spotify.com/v1/audio-analysis/1lItf5ZXJc1by9SbPeljFd,0.807,144244,0.887,0,1,0.391,-3.892,1,0.275,160.517,4,0.794,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall
0.36,https://api.spotify.com/v1/audio-analysis/4atJ40xfasjdM9ZF3p07BV,0.529,230960,0.809,0,8,0.242,-6.554,1,0.269,125.285,4,0.139,Halfway Off The Balcony,Big Sean
0.051,https://api.spotify.com/v1/audio-analysis/0qgZvYWLIqDn0tXimF8gPa,0.766,165600,0.64,0,0,0.237,-8.899,1,0.0345,100.044,4,0.64,Dirty Laundry,Carrie Underwood
0.0496,https://api.spotify.com/v1/audio-analysis/5oyUurs28XRagLa8lgm6V3,0.96,223093,0.547,0,6,0.216,-6.992,0,0.0786,121.01,4,0.18,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert
0.07,https://api.spotify.com/v1/audio-analysis/46IdjlVO3EmaMqooXZ1Hcu,0.923,181739,0.599,0.00000123,6,0.0951,-4.888,1,0.238,138.024,4,0.668,"Wat U Mean (Aye, Aye, Aye)",Dae Dae
