,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist_name,PeakPos
0,0.129,https://api.spotify.com/v1/audio-analysis/6znSbsDDFdBZaiucjUGaWy,0.596,177292,0.935,6znSbsDDFdBZaiucjUGaWy,0.0,6,0.108,-2.794,0,0.0855,130.029,4,https://api.spotify.com/v1/tracks/6znSbsDDFdBZaiucjUGaWy,audio_features,spotify:track:6znSbsDDFdBZaiucjUGaWy,0.678,Light,Big Sean Featuring Jeremih,97
0,0.0266,https://api.spotify.com/v1/audio-analysis/2wSQyp6VzUopSFBinRo1iD,0.66,235693,0.698,2wSQyp6VzUopSFBinRo1iD,0.0,5,0.296,-6.266,0,0.0467,120.959,4,https://api.spotify.com/v1/tracks/2wSQyp6VzUopSFBinRo1iD,audio_features,spotify:track:2wSQyp6VzUopSFBinRo1iD,0.407,Distraction,Kehlani,85
0,0.0169,https://api.spotify.com/v1/audio-analysis/6zkHymyoD3tIqV7RwCAYUw,0.632,187813,0.716,6zkHymyoD3tIqV7RwCAYUw,0.0,5,0.0758,-5.677,0,0.043,88.549,4,https://api.spotify.com/v1/tracks/6zkHymyoD3tIqV7RwCAYUw,audio_features,spotify:track:6zkHymyoD3tIqV7RwCAYUw,0.643,Sleep Without You,Brett Young,47
0,0.0541,https://api.spotify.com/v1/audio-analysis/0Fv5N0cHBsl4bzCbollCAS,0.789,142907,0.53,0Fv5N0cHBsl4bzCbollCAS,0.0,2,0.164,-6.2,1,0.293,75.515,4,https://api.spotify.com/v1/tracks/0Fv5N0cHBsl4bzCbollCAS,audio_features,spotify:track:0Fv5N0cHBsl4bzCbollCAS,0.381,Moves,Big Sean,38
0,0.636,https://api.spotify.com/v1/audio-analysis/5NJ8M8qilAzKVNOcjXfTJb,0.671,134733,0.423,5NJ8M8qilAzKVNOcjXfTJb,0.0,0,0.0914,-10.519,1,0.0293,140.392,4,https://api.spotify.com/v1/tracks/5NJ8M8qilAzKVNOcjXfTJb,audio_features,spotify:track:5NJ8M8qilAzKVNOcjXfTJb,0.834,A Holly Jolly Christmas,Burl Ives,46
0,0.319,https://api.spotify.com/v1/audio-analysis/2ZekuYUoEIBrUwHOY0gcgB,0.456,213453,0.813,2ZekuYUoEIBrUwHOY0gcgB,5.42e-06,2,0.0946,-4.676,1,0.0452,185.993,5,https://api.spotify.com/v1/tracks/2ZekuYUoEIBrUwHOY0gcgB,audio_features,spotify:track:2ZekuYUoEIBrUwHOY0gcgB,0.645,How I'll Always Be,Tim McGraw,70
0,0.109,https://api.spotify.com/v1/audio-analysis/4AFgK4wP1iD5i8BYaLr9Vf,0.807,242933,0.736,4AFgK4wP1iD5i8BYaLr9Vf,0.00729,7,0.104,-6.748,1,0.151,154.023,4,https://api.spotify.com/v1/tracks/4AFgK4wP1iD5i8BYaLr9Vf,audio_features,spotify:track:4AFgK4wP1iD5i8BYaLr9Vf,0.531,You Da Baddest,Future Featuring Nicki Minaj,38
0,0.753,https://api.spotify.com/v1/audio-analysis/0j8zLbIueSkVqB3Tl6PsjA,0.764,229573,0.473,0j8zLbIueSkVqB3Tl6PsjA,0.306,0,0.171,-11.084,0,0.0882,106.14,4,https://api.spotify.com/v1/tracks/0j8zLbIueSkVqB3Tl6PsjA,audio_features,spotify:track:0j8zLbIueSkVqB3Tl6PsjA,0.218,Regret In Your Tears,Nicki Minaj,61
0,0.57,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,0.629,250173,0.572,5tz69p7tJuGPeMGwNTxYuV,0.0,5,0.192,-7.733,0,0.0387,100.015,4,https://api.spotify.com/v1/tracks/5tz69p7tJuGPeMGwNTxYuV,audio_features,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.38,Everybody,Logic,59
0,0.0235,https://api.spotify.com/v1/audio-analysis/1QgTBfRN5m81a5K01qens6,0.791,247347,0.513,1QgTBfRN5m81a5K01qens6,2.83e-05,10,0.101,-6.568,0,0.269,76.997,4,https://api.spotify.com/v1/tracks/1QgTBfRN5m81a5K01qens6,audio_features,spotify:track:1QgTBfRN5m81a5K01qens6,0.481,444+222,Lil Uzi Vert,60
