SongTitle,Title,PeakPos
Grass Ain't Greener,Chris Brown,71
Dance For You,Beyonce,78
From A Table Away,Sunny Sweeney,71
Take It Off,Ke$ha,8
Hype,Drake,33
Can't Remember To Forget You,Shakira Featuring Rihanna,15
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,38
XO TOUR Llif3,Lil Uzi Vert,7
OMG,Usher Featuring will.i.am,81
Heartbreaker,Justin Bieber,13
Light It Up,Luke Bryan,73
You Don't Know Her Like I Do,Brantley Gilbert,49
Dirty Laundry,Carrie Underwood,48
Same Damn Time,Future,92
All About That Bass,Meghan Trainor,1
Shape Of You,Ed Sheeran,1
My Story,R. Kelly Featuring 2 Chainz,89
Strip It Down,Luke Bryan,30
Gold,Kiiara,83
Candles,Glee Cast,71
Come Wake Me Up,Rascal Flatts,52
Windows Down,Big Time Rush,97
Leave You Alone,Young Jeezy Featuring Ne-Yo,51
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,9
P**** Print,Gucci Mane Featuring Kanye West,89
Commas,Future,55
Old Alabama,Brad Paisley Featuring Alabama,38
You Da Baddest,Future Featuring Nicki Minaj,38
Sweet Creature,Harry Styles,93
Now Or Never,Halsey,17
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,46
Try,P!nk,55
No Shopping,French Montana Featuring Drake,36
Run The World (Girls),Glee Cast,91
1999,Prince,12
Aw Naw,Chris Young,45
Someone Else Calling You Baby,Luke Bryan,56
Helluva Night,Ludacris,96
High School,Nicki Minaj Featuring Lil Wayne,64
Let Her Go,Passenger,5
Ordinary Love,U2,84
New Level,A$AP Ferg Featuring Future,90
Take A Little Ride,Jason Aldean,12
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",96
Title,Meghan Trainor,100
Bleed Red,Ronnie Dunn,62
Monster,"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",96
Nights,Frank Ocean,98
Chasing The Sun,The Wanted,79
This Girl,Kungs vs Cookin' On 3 Burners,26
Key To The Streets,YFN Lucci Featuring Migos & Trouble,70
Sacrifices,Drake Featuring 2 Chainz & Young Thug,70
Lord Knows,Meek Mill,88
Infinite,Eminem,97
Ophelia,The Lumineers,66
I Don't Want This Night To End,Luke Bryan,22
Throw That,Slaughterhouse Featuring Eminem,98
Untitled 07 l Levitate,Kendrick Lamar,90
Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo,92
Thinking Out Loud,Ed Sheeran,2
Wild For The Night,A$AP Rocky Featuring Skrillex,80
Ronan,Taylor Swift,16
Propuesta Indecente,Romeo Santos,79
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,20
True Colors,The Weeknd,74
Whatever It Takes,Imagine Dragons,92
All Your Life,The Band Perry,37
Right By My Side,Nicki Minaj Featuring Chris Brown,51
Light,Big Sean Featuring Jeremih,97
Infinity,Mariah Carey,82
Keep Your Head Up,Andy Grammer,53
Wish I Knew You,The Revivalists,84
Fly,Nicki Minaj Featuring Rihanna,61
Price Tag,Jessie J Featuring B.o.B,99
Faithful,Drake Featuring Pimp C & dvsn,72
You & Me,Marc E. Bassy Featuring G-Eazy,58
The Blower's Daughter,Matt McAndrew,40
I Knew You Were Trouble.,Taylor Swift,2
How Far I'll Go,Alessia Cara,56
30 For 30 Freestyle,Drake,88
She Twerkin,Ca$h Out,98
Hallelujah,Matthew Schuler,81
Shake Me Down,Cage The Elephant,78
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,72
Merry Go 'round,Kacey Musgraves,63
Numb,Linkin Park,69
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",92
Sober Saturday Night,Chris Young Featuring Vince Gill,47
Cheap Thrills,Sia Featuring Sean Paul,1
See You Again,Wiz Khalifa Featuring Charlie Puth,34
I Want To Know What Love Is,Terry McDermott,84
Mirrors,Justin Timberlake,2
Really Really,Kevin Gates,46
I Can't Tell You Why,The Swon Brothers,99
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,60
Love Me Like You Do,Ellie Goulding,3
Poetic Justice,Kendrick Lamar Featuring Drake,26
Dangerous,David Guetta Featuring Sam Martin,56
Higher,Taio Cruz Featuring Travie McCoy,24
Last Kiss,Taylor Swift,71
Running Back,Wale Featuring Lil Wayne,100
All About Tonight,Blake Shelton,37
"Bitch, Don't Kill My Vibe",Kendrick Lamar,32
Whiskey In My Water,Tyler Farr,52
Sure Be Cool If You Did,Blake Shelton,24
Bounce Back,Big Sean,6
Take Over Control,Afrojack Featuring Eva Simons,41
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,95
Beautiful Pain,Eminem Featuring Sia,99
Let Me Go,Avril Lavigne Featuring Chad Kroeger,78
Revenge,XXXTentacion,77
Lettin' The Night Roll,Justin Moore,49
Pontoon,Little Big Town,22
Angel,Jacquie Lee,87
Hopeless Wanderer,Mumford & Sons,59
I'm Out,Ciara Featuring Nicki Minaj,44
Rest Of My Life,Ludacris Featuring Usher & David Guetta,72
Not Ready To Die,Avenged Sevenfold,70
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,5
Already Callin' You Mine,Parmalee,91
Pride.,Kendrick Lamar,37
Something Just Like This,The Chainsmokers & Coldplay,3
Like My Mother Does,Lauren Alaina,20
