"","athlete.sex","type","average_speed","distance","total_elevation_gain","incline","score"
"594","M","Ride",6.274,6951.3,0,0,43612.4562
"595","F","Ride",6.906,66226.8,382,0.00576805764433734,461182.2808
"596","M","Ride",7.375,22125.9,22,0.000994309835984073,163398.5125
"597","M","Ride",12.446,45737.8,15,0.000327956307474343,569402.6588
"598","M","Ride",5.282,53688.8,1145,0.021326608156636,295034.2416
"599","F","Ride",4.362,8750.9,45.4,0.0051880378018261,38625.4258
"600","F","Ride",7.282,69130.9,736,0.0106464692344523,510771.2138
"601","F","Run",3.114,12871,102,0.00792479216844068,41100.294
"602","M","Ride",8.034,59130.4,106,0.00179264811332242,476113.6336
"603","M","Ride",6.505,55984.8,547,0.00977050913819465,369651.124
"604","M","Ride",6.151,12713.6,31.9,0.00250912408759124,78520.3536
"605","F","Run",3.281,5181,89.6,0.0172939586952326,17894.861
"606","F","Ride",3.867,33821,918,0.0271428993820407,139965.807
"607","F","Run",2.795,9614.9,92,0.00956848225150548,27793.6455
"608","M","Ride",5.913,6178.9,0,0,36535.8357
"609","M","Ride",5.938,37690.1,450.3,0.0119474344721824,228306.8138
"610","F","Run",3.267,7188,65.4,0.00909849749582638,24137.196
"611","F","Ride",4.186,5491.6,88.9,0.0161883604049822,23876.8376
"612","M","Ride",3.429,21194.1,34,0.00160422004237028,73014.5689
"613","M","Ride",6.155,13344.3,0,0,82134.1665
"614","M","Run",2.817,10789.7,186,0.0172386627987803,32254.5849
"615","M","Ride",5.346,25089.3,473.4,0.0188686013559565,138861.3978
"616","M","Ride",5.826,4911.6,11.2,0.00228031598664386,28726.9816
"617","M","Ride",5.978,9504.4,31.7,0.00333529733597071,57134.3032
"618","M","Ride",10.81,83315.8,448.4,0.00538193235856824,905127.798
"619","F","Ride",3.887,19479.6,516,0.0264892502926138,80877.2052
"620","M","Run",1.961,4789.6,33,0.00688992817771839,9722.4056
"621","F","Ride",6.137,20331.9,169,0.00831206134202903,126466.8703
"622","M","Ride",2.222,16351.2,384,0.0234845148979891,40172.3664
"623","M","Ride",5.496,43119.1,1293.7,0.0300029453304916,249919.5736
"624","F","Ride",3.115,12588.1,245.4,0.0194946020447883,41665.9315
"625","M","Ride",5.552,39091,254.5,0.00651044997569773,219578.232
"626","F","Run",1.304,3644,53.1,0.0145718990120746,5282.776
"627","F","Run",2.833,7982.6,97.8,0.0122516473329492,23592.7058
"628","F","Run",2.54,6150.3,13.8,0.00224379298570801,15759.762
"629","M","Run",3.922,5051.7,0,0,19812.7674
"630","F","Run",2.369,6426.7,24.8,0.00385890114677828,15472.8523
"631","M","Ride",8.702,29281.5,176.9,0.00604135717090996,256576.613
"632","F","Run",3.065,5012,10.1,0.00201516360734238,15462.78
"633","F","Run",1.128,2827.1,50.6,0.0178981995684624,3694.9688
"634","M","Ride",4.616,8078.3,32.7,0.00404788136117748,37616.4328
"635","F","Ride",7.309,50608.9,168,0.00331957422508689,371580.4501
"636","F","Ride",3.842,18297.6,266,0.0145374256733123,72959.3792
"637","M","Ride",3.572,5108.2,112,0.0219255314983752,19366.4904
"638","M","Run",2.481,8238.4,207.1,0.0251383763837638,22510.4704
"639","M","Ride",7.062,19943.9,45.4,0.00227638526065614,141297.8218
"640","F","Ride",2.999,1898.6,11.2,0.00589908353523649,5805.9014
"641","M","Ride",6.74,29979.2,200.8,0.00669797726423654,204067.808
"642","M","Ride",7.832,47318.1,227.8,0.00481422542325241,372873.3592
"643","M","Ride",6.585,27716.5,154.2,0.0055634730214854,184055.1525
"644","F","Ride",6.549,12973.3,100,0.00770813902399544,85962.1417
"645","M","Ride",8.23,36920.6,477,0.012919616690953,308626.538
"646","F","Run",3.377,4835.4,29.9,0.00618356289035033,16628.1458
"647","F","Run",2.55,5059.9,34,0.00671950038538311,13242.745
"648","M","Ride",5.719,14653.1,19,0.00129665395035863,83991.0789
"649","M","Ride",6.433,24414.6,562.7,0.0230476845821762,162686.1218
"650","F","Ride",3.211,14501.4,39,0.00268939550664074,46953.9954
"651","M","Ride",5.092,55842.3,35.1,0.000628555772237175,284699.9916
"652","F","Ride",6.798,30468.6,597,0.0195939426163329,213095.5428
"653","F","Run",2.766,9970.8,152.4,0.0152846311228788,29103.2328
"654","M","Run",3.413,2231.8,5,0.00224034411685635,7667.1334
"655","F","Run",2.441,5589.1,0,0,13642.9931
"656","F","Run",1.532,5268.7,10.1,0.00191698141856625,8172.6484
"657","M","Ride",7.661,53453.6,294.1,0.00550196806202015,412449.0296
"658","M","Ride",6.808,55925.5,138,0.00246756846161411,382120.804
"659","M","Ride",7.783,33575.2,116,0.00345493102051514,262475.7816
"660","F","Run",3.118,9955.7,26.2,0.00263165824602991,31303.8726
"661","F","Ride",5.695,5068.4,16,0.00315681477389314,29024.538
"662","M","Ride",6.205,23021.4,300.1,0.0130356972208467,145848.787
"663","F","Ride",3.513,14534,38.9,0.00267648273014999,51446.942
"664","F","Run",2.12,3722.4,0,0,7891.488
"665","M","Ride",7.581,31597.6,90,0.0028483175937413,240441.4056
"666","F","Ride",4.209,25463.4,736.7,0.0289317216082691,114542.4506
"667","F","Ride",6.484,88664.5,1197.4,0.0135048412837156,586874.618
"668","M","Ride",3.364,27018.4,1061.4,0.0392843395611879,101503.8976
"669","F","Run",2.065,514.1,0,0,1061.6165
"670","F","Ride",4.695,4563.1,61.1,0.0133900199425829,22034.7545
"671","F","Ride",4.028,27484,0,0,110705.552
"672","F","Run",2.206,5190.1,13,0.00250476869424481,11579.3606
"673","F","Ride",5.741,8743.7,22.2,0.00253897091620252,50419.5817
"674","F","Ride",4.342,24325.2,151.8,0.00624044201075428,107138.0184
"675","F","Ride",4.63,20701.2,236.2,0.0114099665719862,98208.556
"676","M","Ride",7.37,55523.7,646,0.0116346713205352,415669.669
"677","M","Ride",0.295,5223.4,94,0.0179959413408891,2480.903
"678","M","Ride",6.166,9871.5,156,0.015803069442334,62427.669
"679","F","Run",1.367,2204.1,52.3,0.023728505966154,3536.0047
"680","F","Ride",4.893,39854.3,222.1,0.00557279892006634,197228.0899
"681","F","Ride",3.245,3712.7,0,0,12047.7115
"682","F","Ride",5.464,36414.9,222.1,0.00609915172086152,201192.0136
"683","M","Ride",4.619,8045.6,41.7,0.00518295714427762,37579.6264
"684","F","Ride",6.011,13405.3,94.5,0.00704945059043811,81524.2583
"685","M","Run",1.821,10630.4,141.7,0.0133296959662854,20774.9584
"686","M","Ride",6.911,34312.9,211.8,0.00617260563811278,239254.4519
"687","F","Run",2.703,1565.2,0,0,4230.7356
"688","M","Run",3.237,12791.1,284,0.0222029379803144,44244.7907
"689","F","Run",3.325,5599.3,88.5,0.0158055471219617,19502.6725
"690","M","Ride",6.918,61028.7,441,0.0072261083719627,426606.5466
"691","F","Run",2.565,10666.1,92.8,0.00870046221205501,28286.5465
"692","F","Run",2.776,8772,79,0.00900592795257638,25141.072
"693","F","Ride",8.32,23954.6,64.8,0.00270511717999883,199950.272
"694","F","Run",3.678,9687.7,53.9,0.00556375610309981,36170.3606
"695","F","Ride",3.813,23475.8,528,0.0224912463047053,94793.2254
"696","M","Ride",3.721,6051,90.2,0.014906627003801,23417.771
"697","M","Ride",4.7,27667.4,24.1,0.000871061248978943,130277.78
"698","F","Run",2.799,7196.5,0,0,20143.0035
"699","F","Run",2.123,2887,19.3,0.00668514028403187,6322.101
